Name,Latin name,Other names,Relative growing difficulty,Growing difficulty : Soil,Growing difficulty : Pests,Care difficulty,Height,Planting distance,Sowing depth,Coldest USDA hardiness zone,Category,Scientific family,Plant group,Can be harvested from year,Plant diseases,Pests,Soil PH,Preferred soil type,Sunshine needed,Soil drainage,Zone 2 - Time to plant,Zone 2 - Time to harvest,Zone 3 - Time to plant,Zone 3 - Time to harvest,Zone 4 - Time to plant,Zone 4 - Time to harvest,Zone 5 - Time to plant,Zone 5 - Time to harvest,Zone 6 - Time to plant,Zone 6 - Time to harvest,Zone 7 - Time to plant,Zone 7 - Time to harvest,Zone 8 - Time to plant,Zone 8 - Time to harvest,Zone 9 - Time to plant,Zone 9 - Time to harvest,Zone 10 - Time to plant,Zone 10 - Time to harvest,Zone 11 - Time to plant,Zone 11 - Time to harvest,Image URL
Aurora Pepper,Capsicum annuum,,2,3,4,1,12,18,0.25,3,Fruits,Solanaceae,Pepper,0,"Blossom-end rot,Cucumber mosaic virus,","Aphids,Borers,Tarnished plant bugs,","Neutral,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,","April,June,March,May,","August,July,","April,March,May,","August,July,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,June,","April,February,March,May,","August,July,June,","April,December,March,","July,June,","April,December,March,","July,June,",,,https://cdn.sympathink.com/wp-content/uploads/aurora-pepper-capsicum-annuum-60x40.jpg
Baby Oakleaf Lettuce,Lactuca sativa,,5,5,5,5,7,8,0.5,3,Leaf,Amaranthaceae,Lettuce,0,"Damping off,Downy mildew,Fusarium,Mosaic virus,","Aphids,Cabbage loopers,Cutworms,Leafhoppers,Leafminers,Slugs,Wireworms,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,Part shade,","High moisture,Well-drained,",,,"April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,December,February,January,July,June,March,May,October,September,","April,August,December,February,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,October,September,","April,August,December,February,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/baby-oakleaf-lettuce-lactuca-sativa-60x69.jpg
Banana Pepper,Capsicum annuum,"Yellow wax pepper, Banana chili",2,3,4,1,24,18,0.25,3,Fruits,Solanaceae,Pepper,0,"Blossom-end rot,Cucumber mosaic virus,","Aphids,Borers,Tarnished plant bugs,","Neutral,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,","April,June,March,May,","August,July,","April,February,March,May,","August,July,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,June,","April,February,March,May,","August,July,June,","April,December,March,","July,June,","April,December,March,","July,June,",,,https://cdn.sympathink.com/wp-content/uploads/banana-pepper-capsicum-annuum-60x45.jpg
Basil,Ocimum basilicum,"Great basil, Saint-Joseph's-wort",2,4,2,2,18,11,0.5,3,Herbs,Lamiaceae,Basil,0,"Bacteria,Fungi,","Aphids,","Acidic,Alkaline,Neutral,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,June,May,","April,June,March,May,","August,July,June,May,","April,March,May,","August,July,June,","April,March,May,","August,July,June,","April,February,March,May,","April,August,July,June,May,","April,February,March,May,","April,August,July,June,May,","April,December,February,January,March,","April,July,June,March,May,","April,December,February,January,March,","April,July,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/basil-ocimum-basilicum-60x45.jpg
Beam’s Yellow Pear Tomato,Solanum lycopersicum,,3,3,3,3,24,18,0.5,3,Fruits,Solanaceae,Tomato,0,"Blossom-end rot,Catface,Early blight,Fusarium wilt,Late blight,Verticillium wilt,","Aphids,Colorado potato beetles,Cutworms,Flea beetles,Tomato hornworms,Whiteflies,","Acidic,","Loam,","Full sun,","High moisture,Well-drained,",,,"April,June,March,May,","August,September,","April,June,March,May,","August,September,","April,March,May,","August,July,","April,March,May,","August,July,","April,February,March,May,","August,July,","April,February,March,May,","August,July,","April,August,February,January,July,June,March,May,September,","August,December,July,June,November,October,September,","April,August,February,January,July,June,March,May,September,","December,July,June,November,",,,https://cdn.sympathink.com/wp-content/uploads/beams-yellow-pear-tomato-solanum-lycopersicum-60x45.jpg
Beefsteak Tomato,Solanum lycopersicum,,4,3,3,4,84,18,0.5,3,Fruits,Solanaceae,Tomato,0,"Blossom-end rot,Catface,Early blight,Fusarium wilt,Late blight,Verticillium wilt,","Aphids,Colorado potato beetles,Cutworms,Flea beetles,Tomato hornworms,Whiteflies,","Acidic,","Loam,","Full sun,","High moisture,Well-drained,",,,"April,June,March,May,","August,July,September,","April,June,March,May,","August,July,September,","April,March,May,","August,July,October,September,","April,March,May,","August,July,October,September,","April,February,March,May,","August,July,June,May,","April,February,March,May,","August,July,June,May,","April,August,February,January,July,June,March,May,September,","August,July,June,May,November,October,September,","April,August,February,January,July,June,March,May,September,","August,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/beefsteak-tomato-solanum-lycopersicum-60x40.jpg
Beet,Beta vulgaris,"Beetroot, Table beet, Garden beet, Red beet, Golden beet",3,5,1,4,12,3.5,0.75,3,Root and tuberous,Amaranthaceae,Beet,0,"Cercospora leaf spot (cercospora kikuchii),Root rots,Scab,","Leafminers,","Neutral,","Sandy loam,Silt loam,","Full sun,Part shade,","Well-drained,",,,"August,July,June,May,","August,July,October,September,","August,July,June,May,","August,July,October,September,","August,July,June,May,September,","August,July,November,October,September,","August,July,June,May,September,","August,July,November,October,September,","April,May,","July,June,","April,May,","July,June,","March,October,September,","December,May,November,","March,October,September,","December,May,November,",,,https://cdn.sympathink.com/wp-content/uploads/beet-beta-vulgaris-60x43.jpg
Black Plum Tomato,Solanum lycopersicum,Black paste tomato,3,3,3,3,24,18,0.5,3,Fruits,Solanaceae,Tomato,0,"Blossom-end rot,Catface,Early blight,Fusarium wilt,Late blight,Verticillium wilt,","Aphids,Colorado potato beetles,Cutworms,Flea beetles,Tomato hornworms,Whiteflies,","Acidic,","Loam,","Full sun,","High moisture,Well-drained,",,,"April,June,March,May,","August,July,September,","April,June,March,May,","August,July,September,","April,March,May,","August,July,September,","April,March,May,","August,July,September,","April,February,March,May,","August,July,September,","April,February,March,May,","August,July,September,","April,August,February,January,July,June,March,May,September,","August,December,July,June,November,October,September,","April,August,February,January,July,June,March,May,September,","August,December,July,June,November,",,,https://cdn.sympathink.com/wp-content/uploads/black-plum-tomato-solanum-lycopersicum-60x40.jpg
Black Salsify,Scorzonera hispanica,"Spanish salsify, Black oyster plant, Serpent root, Viper's herb, Viper's grass, Scorzonera",1,2,3,1,47,3.5,0.5,4,Root and tuberous,Asteraceae,No group,0,"No serious disease problems,","No serious pest problems,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,,,"May,","June,May,","April,May,","April,June,May,","April,March,","April,March,May,","April,March,","April,March,May,","November,October,","December,November,October,","August,September,","August,October,September,","December,November,","December,January,November,",,,https://cdn.sympathink.com/wp-content/uploads/black-salsify-scorzonera-hispanica-60x40.jpg
Black Spanish Radish,Raphanus sativus subsp. niger,,3,3,4,3,12,2,0.5,2,Root and tuberous,Brassicaceae,Radish,0,"Clubroot,","Cabbage root maggots,","Acidic,Slightly acidic,","Clay,Loam,Sandy,","Full sun,Part shade,","Loose,Well-drained,","April,May,","August,July,June,May,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,October,September,","April,August,July,June,May,October,September,","August,December,July,June,May,November,October,September,","April,August,July,June,May,October,September,","August,December,July,June,May,November,October,September,","February,March,November,October,","April,December,March,November,","February,March,November,October,","April,December,March,November,",,,https://cdn.sympathink.com/wp-content/uploads/black-spanish-radish-raphanus-sativus-60x40.jpg
Black-Eyed Pea,Vigna unguiculata subsp. unguiculata,"Black-eyed bean, goat pea",2,4,2,2,22,3.5,1.5,3,Podded,Fabaceae,Pea,0,"Ashley stem blight,Bacterial blight (xanthomonas vignicola),Cotton root rot,Curly top,Leaf spots,Marginal yellowing and burning of leaves,Mosaic virus,Pod and stem blight,Powdery mildew,Root knot,Rust,Seedling disease,Southern blight,Wilts,","Ants,Aphids,Whiteflies,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"July,June,May,","August,October,September,","July,June,May,","August,October,September,","June,May,","August,September,","April,June,May,","August,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,March,October,September,","August,December,January,July,June,","April,March,October,September,","August,December,January,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/black-eyed-pea-vigna-unguiculata-unguiculata-60x40.jpg
Bloomsdale Spinach,Spinacia oleracea,,5,5,4,5,8,6,0.5,3,Leaf,Amaranthaceae,Spinach,0,"Downy mildew,Mosaic virus,","Birds,Leafminers,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,Part shade,","High moisture,Well-drained,",,,"April,August,July,June,May,","August,July,June,October,September,","April,August,July,June,May,","August,July,June,October,September,","April,May,","July,June,","April,May,","July,June,","April,August,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,July,June,March,May,October,September,","August,July,June,May,November,October,September,","February,March,November,October,","April,December,July,June,May,November,","February,March,November,October,","April,December,July,June,May,November,",,,https://cdn.sympathink.com/wp-content/uploads/bloomsdale-spinach-spinacia-oleracea-60x45.jpg
Blue Spice Basil,Ocimum basilicum,,2,4,2,2,18,11,0.5,3,Herbs,Lamiaceae,Basil,0,"Bacteria,Fungi,","Aphids,","Acidic,Alkaline,Neutral,","Loam,","Full sun,","Well-drained,",,,"April,June,March,May,","August,July,June,May,","April,June,March,May,","August,July,June,May,","April,March,May,","August,July,June,","April,March,May,","August,July,June,","April,February,March,May,","April,August,July,June,May,","April,February,March,May,","April,August,July,June,May,","April,December,February,January,March,","April,July,June,March,May,","April,December,February,January,March,","April,July,June,March,May,",,,https://cdn.sympathink.com/wp-content/uploads/blue-spice-basil-ocimum-basilicum-60x40.jpg
Borage,Borago officinalis,Starflower,1,1,2,1,30,10,0.5,6,Herbs,Boraginaceae,No group,0,"Powdery mildew,","Leafminers,Slugs,","Acidic,Alkaline,Neutral,","Chalky,Clay,Loam,Sandy,","Full sun,Part shade,","Well-drained,",,,,,,,,,"April,March,May,","August,July,June,September,","April,March,May,","August,July,June,September,","April,March,May,","August,July,June,September,",,,,,,,https://cdn.sympathink.com/wp-content/uploads/borage-starflower-borago-officinalis-60x45.jpg
Brandywine Tomato,Solanum lycopersicum,,3,3,3,3,24,18,0.5,3,Fruits,Solanaceae,Tomato,0,"Blossom-end rot,Catface,Early blight,Fusarium wilt,Late blight,Verticillium wilt,","Aphids,Colorado potato beetles,Cutworms,Flea beetles,Tomato hornworms,Whiteflies,","Acidic,","Loam,","Full sun,","High moisture,Well-drained,",,,"April,June,March,May,","August,September,","April,June,March,May,","August,September,","April,March,May,","August,July,September,","April,March,May,","August,July,September,","April,February,March,May,","August,July,June,September,","April,February,March,May,","August,July,June,September,","April,August,February,January,July,June,March,May,September,","August,December,July,June,November,October,September,","April,August,February,January,July,June,March,May,September,","August,December,July,June,November,",,,https://cdn.sympathink.com/wp-content/uploads/brandywine-tomato-solanum-lycopersicum-60x40.jpg
Broad-leaved Endive,Cichorium endivia var. latifolia,"Escarole, Bavarian endive, Batavian endive, Grumolo, Scarola, Scarole",5,5,4,4,8,12,0.5,3,Leaf,Asteraceae,Endive,0,"No serious disease problems,","Aphids,","Slightly acidic,","Loam,","Full sun,Part shade,","Well-drained,",,,"August,July,June,May,","August,October,September,","August,July,June,May,","August,October,September,","April,August,July,June,May,","August,July,October,September,","April,August,July,June,May,","August,July,October,September,","April,June,May,","August,July,September,","April,June,May,","August,July,September,","April,August,July,June,March,May,","August,July,June,November,October,September,","April,August,July,June,March,May,","August,July,June,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/brandywine-tomato-solanum-lycopersicum-60x40.jpg
Broadleaf Arrowhead,Sagittaria latifolia,"Duck-potato, Indian potato, Wapato",1,1,1,1,30,4,2,3,Root and tuberous,Alismataceae,No group,0,"No serious disease problems,","No serious pest problems,","Acidic,Alkaline,Neutral,","Clay,Loam,Sandy,","Full sun,","Inundated,",,,"June,May,","September,","June,May,","September,","June,May,","September,","June,May,","September,","April,May,","October,","April,May,","October,","April,May,","October,","April,May,","October,","April,May,","October,",https://cdn.sympathink.com/wp-content/uploads/broadleaf-arrowhead-sagittaria-latifolia-60x40.jpg
Broccoli,Brassica oleracea var. italica,,4,1,5,4,30,18,0.5,3,Flowers & flower buds,Brassicaceae,Broccoli,0,"Clubroot,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/broccoli-brassica-oleracea-italica-60x40.jpg
Bronze Arrowhead Lettuce,Lactuca sativa,Bronze beauty lettuce,5,5,5,5,10,8,0.5,3,Leaf,Amaranthaceae,Lettuce,0,"Damping off,Downy mildew,Fusarium,Mosaic virus,","Aphids,Cabbage loopers,Cutworms,Leafhoppers,Leafminers,Slugs,Wireworms,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,Part shade,","High moisture,Well-drained,",,,"April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,May,","August,July,June,May,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,July,June,May,November,October,September,","April,August,July,June,March,May,September,","April,August,December,February,January,July,June,March,May,October,September,","April,August,December,February,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,October,September,","April,August,December,February,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/bronze-arrowhead-lettuce-lactuca-sativa-60x80.jpg
Brussels Sprout,Brassica oleracea var. gemmifera,,5,2,5,5,30,18,0.5,3,Leaf,Brassicaceae,No group,0,"Clubroot,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Nematodes,Slugs,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,March,May,October,September,","August,July,June,November,October,September,","April,August,July,June,March,May,October,September,","August,July,June,November,October,September,","April,August,February,July,June,March,May,September,","August,December,July,June,November,October,September,","April,August,February,July,June,March,May,September,","August,December,July,June,November,October,September,","August,February,March,October,September,","December,June,May,November,","August,February,March,October,September,","December,June,May,November,",,,https://cdn.sympathink.com/wp-content/uploads/brussels-sprout-brassica-oleracea-gemmifera-60x45.jpg
Bush Slicer Cucumber,Cucumis sativus,,4,5,1,5,12,12,0.5,2,Fruits,Cucurbitaceae,Cucumber,0,"Anthracnose,Bacterial wilt,Cucumber mosaic virus,Downy mildew,Leaf spots,Powdery mildew,Scab,","Aphids,Spotted cucumber beetles,Squash vine borers,Striped cucumber beetles,","Slightly acidic,","Loam,","Full sun,","Well-drained,","April,June,May,","August,July,","April,June,May,","August,July,June,","April,June,May,","August,July,June,","May,","August,July,","May,","August,July,","April,August,July,June,May,","August,July,October,September,","April,August,July,June,May,","August,July,October,September,","April,August,May,September,","July,June,May,November,October,","April,August,May,September,","July,June,May,November,October,",,,https://cdn.sympathink.com/wp-content/uploads/brussels-sprout-brassica-oleracea-gemmifera-60x45.jpg
Butternut Squash,Cucurbita moschata,"Butternut pumpkin, Gramma",4,3,2,4,15,24,0.5,3,Fruits,Cucurbitaceae,Squash,0,"Bacterial wilt,Blossom-end rot,Downy mildew,Powdery mildew,Scab,Viruses,","Aphids,Squash bugs,Squash vine borers,Stink bugs,Striped cucumber beetles,","Slightly acidic,","Loam,","Full sun,","Well-drained,",,,"June,","September,","June,","September,","July,June,May,","August,October,September,","July,June,May,","August,October,September,","April,May,","August,July,","April,May,","August,July,","April,March,September,","December,July,June,","April,March,September,","December,July,June,",,,https://cdn.sympathink.com/wp-content/uploads/butternut-squash-cucurbita-moschata-60x45.jpg
Calabrese Broccoli,Brassica oleracea var. italica,,4,1,4,4,33,16,0.25,3,Flowers & flower buds,Brassicaceae,Broccoli,0,"Clubroot,","Cabbage aphids,Cabbage root maggots,Cabbage worms,Cutworms,Flea beetles,Slugs,Snails,","Neutral,Slightly acidic,Slightly alkaline,","Loam,","Full sun,","Well-drained,",,,"April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,July,June,March,May,October,September,","August,July,June,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,February,July,June,March,May,October,September,","August,July,June,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,","April,August,December,February,January,July,June,March,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/calabrese-broccoli-brassica-oleracea-italica-60x45.jpg
Campari Tomato,Solanum lycopersicum,,3,3,3,4,36,18,0.5,3,Fruits,Solanaceae,Tomato,0,"Blossom-end rot,Catface,Early blight,Fusarium wilt,Late blight,Verticillium wilt,","Aphids,Colorado potato beetles,Cutworms,Flea beetles,Tomato hornworms,Whiteflies,","Acidic,","Loam,","Full sun,","High moisture,Well-drained,",,,"April,June,March,May,","August,July,September,","April,June,March,May,","August,July,September,","April,March,May,","August,July,October,September,","April,March,May,","August,July,October,September,","April,February,March,May,","August,July,June,May,","April,February,March,May,","August,July,June,May,","April,August,February,January,July,June,March,May,September,","August,July,June,May,November,October,September,","April,August,February,January,July,June,March,May,September,","August,July,June,May,November,October,September,",,,https://cdn.sympathink.com/wp-content/uploads/calabrese-broccoli-brassica-oleracea-italica-60x45.jpg
Caper Bush,Capparis spinosa,Flinders rose,5,1,5,4,36,85,1,8,Flowers & flower buds,Asteraceae,No group,1,"Albugo capparidis,Aschochyta capparidis,Botrytis cinerea (gray mold),Camarosporium suseganense,Caper latent carlavirus,Caper vein yellowing virus,Cercospora capparidis,Cloeosporium hians,Hendersonia rupestris,Leptosphaeria capparidis,Phoma cappa,","Acalles barbarus (weevil),Asphondylia cappari,Calocoris memorali,Cydia capparidana,Eurydema ventralis,","Acidic,Alkaline,Neutral,","Loam,Sandy,","Full sun,","Well-drained,",,,,,,,,,,,,,"April,June,May,","August,July,September,","April,March,May,","August,July,June,","April,March,May,","August,July,June,","April,February,March,","July,June,May,",https://cdn.sympathink.com/wp-content/uploads/caper-bush-capparis-spinosa-60x40.jpg
Cardoon,Cynara cardunculus var. altilis,"Artichoke Thistle, globe artichoke",2,2,4,2,48,21,0.25,3,Flowers & flower buds,Asteraceae,Artichoke,0,"No serious disease problems,","Aphids,","Neutral,Slightly acidic,","Loam,","Full sun,Part shade,","Well-drained,",,,"July,June,","August,July,","July,June,","August,July,","July,June,May,","August,July,September,","July,June,May,","August,July,September,","April,May,","August,July,June,","April,May,","August,July,June,","April,March,September,","April,July,June,May,November,October,","April,March,September,","April,July,June,May,November,October,","February,January,","February,March,",https://cdn.sympathink.com/wp-content/uploads/cardoon-artichoke-thistle-cynara-cardunculusaltilis-60x41.jpg
